epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,291.844,1.15881,0.64662,1.09195,0.78346,0.23567,0.268,0.17927,1.94755,3.38859,1.80842,0.000763503,0.000763503,0.000763503
78,295.551,1.12345,0.62591,1.09144,0.77381,0.23573,0.26642,0.1764,2.06232,3.31409,1.92615,0.000755447,0.000755447,0.000755447
79,299.205,1.15705,0.63595,1.08189,0.73532,0.23129,0.26275,0.17374,2.11221,3.29967,1.98281,0.000747342,0.000747342,0.000747342
80,303.039,1.13573,0.6312,1.11634,0.7503,0.22598,0.26055,0.17283,2.0664,3.30572,1.94406,0.000739192,0.000739192,0.000739192
81,306.662,1.1922,0.64138,1.12338,0.56865,0.23617,0.26419,0.18293,1.97199,3.33465,1.84942,0.000730997,0.000730997,0.000730997
82,310.316,1.15028,0.62171,1.08929,0.55548,0.24117,0.26575,0.18785,1.9387,3.19516,1.81682,0.000722761,0.000722761,0.000722761
83,313.952,1.13839,0.61099,1.09186,0.5389,0.24117,0.25912,0.18342,1.94835,3.11609,1.83494,0.000714485,0.000714485,0.000714485
84,317.593,1.10651,0.59895,1.09729,0.62586,0.24215,0.26053,0.17028,1.94155,3.02958,1.82927,0.000706171,0.000706171,0.000706171
85,321.222,1.11395,0.59438,1.10958,0.55588,0.24078,0.26527,0.17644,1.92572,3.07952,1.82353,0.000697821,0.000697821,0.000697821
86,324.896,1.06437,0.58326,1.04676,0.51933,0.23603,0.258,0.16725,2.03232,2.97955,1.91227,0.000689437,0.000689437,0.000689437
87,328.553,1.09019,0.58437,1.08348,0.59634,0.23715,0.25847,0.15968,2.06192,2.92731,1.94001,0.000681022,0.000681022,0.000681022
88,332.192,1.09972,0.5815,1.08229,0.61189,0.23891,0.26344,0.17201,2.01419,2.78593,1.92363,0.000672577,0.000672577,0.000672577
89,335.859,1.10012,0.62422,1.08879,0.6288,0.23891,0.26704,0.17066,2.0233,2.81479,1.90311,0.000664104,0.000664104,0.000664104
90,339.537,1.0701,0.58701,1.06293,0.59645,0.23379,0.26637,0.17784,1.97103,2.80692,1.86642,0.000655607,0.000655607,0.000655607
91,343.345,1.06705,0.57759,1.05312,0.57415,0.20889,0.25691,0.17948,1.88444,2.87163,1.80791,0.000647085,0.000647085,0.000647085
92,346.993,0.99287,0.54926,1.02476,0.55638,0.22737,0.26196,0.19093,1.79511,3.09849,1.69825,0.000638543,0.000638543,0.000638543
